Feast, Rank, Weekday, Date
Feria V infra Hebd III in Quadragesima, sp, Thursday, 2578-03-05 00:00:00
Feria VI infra Hebd III in Quadragesima, sp, Friday, 2578-03-06 00:00:00
Sabbato infra Hebd III in Quadragesima, sp, Saturday, 2578-03-07 00:00:00
Dominica IV in Quadragesima, sd1, Sunday, 2578-03-08 00:00:00
Feria II infra Hebd IV in Quadragesima, sp, Monday, 2578-03-09 00:00:00
Feria III infra Hebd IV in Quadragesima, sp, Tuesday, 2578-03-10 00:00:00
Feria IV infra Hebd IV in Quadragesima, sp, Wednesday, 2578-03-11 00:00:00
Feria V infra Hebd IV in Quadragesima, sp, Thursday, 2578-03-12 00:00:00
Feria VI infra Hebd IV in Quadragesima, sp, Friday, 2578-03-13 00:00:00
Sabbato infra Hebd IV in Quadragesima, sp, Saturday, 2578-03-14 00:00:00
Dominica de Passione, sd1, Sunday, 2578-03-15 00:00:00
Feria II infra Hebd de Passione, sp, Monday, 2578-03-16 00:00:00
Feria III infra Hebd de Passione, sp, Tuesday, 2578-03-17 00:00:00
Feria IV infra Hebd de Passione, sp, Wednesday, 2578-03-18 00:00:00
Feria V infra Hebd de Passione, sp, Thursday, 2578-03-19 00:00:00
Septem Dolorum BMV, dm, Friday, 2578-03-20 00:00:00
Sabbato infra Hebd de Passione, sp, Saturday, 2578-03-21 00:00:00
Dominica in Palmis, sd1, Sunday, 2578-03-22 00:00:00
Feria II Majoris Hebd; Feria Priv, sp, Monday, 2578-03-23 00:00:00
Feria III Majoris Hebd; Feria Priv, sp, Tuesday, 2578-03-24 00:00:00
Feria IV Majoris Hebd; Feria Priv, sp, Wednesday, 2578-03-25 00:00:00
Feria V in Cœna Domini, d1, Thursday, 2578-03-26 00:00:00
Feria VI in Parasceve, d1, Friday, 2578-03-27 00:00:00
Sabbatum Sanctum, d1, Saturday, 2578-03-28 00:00:00
Dominica Resurrectionis, d1, Sunday, 2578-03-29 00:00:00
Feria II Paschatis, d1, Monday, 2578-03-30 00:00:00
Feria III Paschatis, d1, Tuesday, 2578-03-31 00:00:00
De die IV infra Oct Paschæ, sd, Wednesday, 2578-04-01 00:00:00
De die V infra Oct Paschæ, sd, Thursday, 2578-04-02 00:00:00
De die VI infra Oct Paschæ, sd, Friday, 2578-04-03 00:00:00
Sabbatum in Albis, sd, Saturday, 2578-04-04 00:00:00
Dominica in Albis, sd, Sunday, 2578-04-05 00:00:00
Solemnitas S Joseph, Sponsi BMV C et Ecclesiæ Universalis Patroni, d1, Wednesday, 2578-04-15 00:00:00
Octava Solemnitas S Joseph, dm, Wednesday, 2578-04-22 00:00:00
Dominica II post Pascha, sd, Sunday, 2578-04-12 00:00:00
Dominica III post Pascha, sd, Sunday, 2578-04-19 00:00:00
Dominica IV post Pascha, sd, Sunday, 2578-04-26 00:00:00
Litaniæ Minores, sp, Monday, 2578-05-04 00:00:00
Litaniæ Minores, sp, Tuesday, 2578-05-05 00:00:00
Litaniæ Minores, sp, Wednesday, 2578-05-06 00:00:00
Vigilæ Ascensionis, sp, Wednesday, 2578-05-06 00:00:00
Ascensio DNJC, d1, Thursday, 2578-05-07 00:00:00
Dominica V post Pascha, sd, Sunday, 2578-05-03 00:00:00
De II die infra Oct Ascensionis, sd, Saturday, 2578-05-09 00:00:00
De IV die infra Oct Ascensionis, sd, Monday, 2578-05-11 00:00:00
De V die infra Oct Ascensionis, sd, Tuesday, 2578-05-12 00:00:00
De VI die infra Oct Ascensionis, sd, Wednesday, 2578-05-13 00:00:00
Dominica infra Octavam Ascensionis, sd, Sunday, 2578-05-10 00:00:00
Vigilia Pentecostes, sd, Saturday, 2578-05-16 00:00:00
Dominica Pentecostes, d1, Sunday, 2578-05-17 00:00:00
De II die infra Oct Pentecostes, d1, Saturday, 2578-05-09 00:00:00
De III die infra Oct Pentecostes, d1, Sunday, 2578-05-10 00:00:00
De IV die infra Oct Pentecostes, d1, Monday, 2578-05-11 00:00:00
De V die infra Oct Pentecostes, d1, Tuesday, 2578-05-12 00:00:00
De VI die infra Oct Pentecostes, d1, Wednesday, 2578-05-13 00:00:00
Sabbato die infra Oct Pentecostes, d1, Thursday, 2578-05-14 00:00:00
Feria IV Quattuor infra Temporum Pentecostes, d1, Wednesday, 2578-05-20 00:00:00
Feria VI Quattuor infra Temporum Pentecostes, d1, Friday, 2578-05-22 00:00:00
Sabbato Quattuor infra Temporum Pentecostes, d1, Saturday, 2578-05-23 00:00:00
Dominica Sanctissimæ Trinitatis, d1, Sunday, 2578-05-24 00:00:00
De II die infra Oct Corporis Christi, sd, Friday, 2578-05-29 00:00:00
De III die infra Oct Corporis Christi, sd, Saturday, 2578-05-30 00:00:00
De V die infra Oct Corporis Christi, sd, Monday, 2578-06-01 00:00:00
De VI die infra Oct Corporis Christi, sd, Tuesday, 2578-06-02 00:00:00
De VII die infra Oct Corporis Christi, sd, Wednesday, 2578-06-03 00:00:00
Sanctissimi Corporis Christi, d1, Thursday, 2578-05-28 00:00:00
Octava SSmi Corporis Christi, dm, Thursday, 2578-06-04 00:00:00
Dominica II post Pentecosten infra Octavam Corporis Christi, sd, Sunday, 2578-05-31 00:00:00
De II die infra Oct Ss Cordis Jesu, sd, Saturday, 2578-06-06 00:00:00
De IV die infra Oct Ss Cordis Jesu, sd, Monday, 2578-06-08 00:00:00
De V die infra Oct Ss Cordis Jesu, sd, Tuesday, 2578-06-09 00:00:00
De VI die infra Oct Ss Cordis Jesu, sd, Wednesday, 2578-06-10 00:00:00
De VII die infra Oct Ss Cordis Jesu, sd, Thursday, 2578-06-11 00:00:00
Sacratissimi Cordis Jesu, d1, Friday, 2578-06-05 00:00:00
Sacratissimi Cordis Jesu, dm, Friday, 2578-06-12 00:00:00
Dominica III post Pentecosten infra Octavam SSmi Cordis DNJC, sd, Sunday, 2578-06-07 00:00:00
Dominica V post Pentecosten, sd, Sunday, 2578-06-14 00:00:00
Dominica VI post Pentecosten, sd, Sunday, 2578-06-21 00:00:00
Dominica VII post Pentecosten, sd, Sunday, 2578-06-28 00:00:00
Dominica VIII post Pentecosten, sd, Sunday, 2578-07-05 00:00:00
Dominica IX post Pentecosten, sd, Sunday, 2578-07-12 00:00:00
Dominica X post Pentecosten, sd, Sunday, 2578-07-19 00:00:00
Dominica XI post Pentecosten, sd, Sunday, 2578-07-26 00:00:00
Dominica XII post Pentecosten, sd, Sunday, 2578-08-02 00:00:00
Dominica XIII post Pentecosten, sd, Sunday, 2578-08-09 00:00:00
Dominica XIV post Pentecosten, sd, Sunday, 2578-08-16 00:00:00
Dominica XV post Pentecosten, sd, Sunday, 2578-08-23 00:00:00
Dominica XVI post Pentecosten, sd, Sunday, 2578-08-30 00:00:00
Dominica XVII post Pentecosten, sd, Sunday, 2578-09-06 00:00:00
Dominica XVIII post Pentecosten, sd, Sunday, 2578-09-13 00:00:00
Feria IV Quattuor Temporum Septembris, sd, Wednesday, 2578-09-16 00:00:00
Feria VI Quattuor Temporum Septembris, sd, Friday, 2578-09-18 00:00:00
Sabbato Quattuor Temporum Septembris, sd, Saturday, 2578-09-19 00:00:00
Dominica XIX post Pentecosten, sd, Sunday, 2578-09-20 00:00:00
Dominica XX post Pentecosten, sd, Sunday, 2578-09-27 00:00:00
Dominica XXI post Pentecosten, sd, Sunday, 2578-10-04 00:00:00
Dominica XXII post Pentecosten, sd, Sunday, 2578-10-11 00:00:00
Dominica XXIII post Pentecosten, sd, Sunday, 2578-10-18 00:00:00
Dominica XXIV post Pentecosten, sd, Sunday, 2578-10-25 00:00:00
Dominica XXV post Pentecosten, sd, Sunday, 2578-11-01 00:00:00
Dominica XXVI post Pentecosten, sd, Sunday, 2578-11-08 00:00:00
Dominica XXVII post Pentecosten, sd, Sunday, 2578-11-15 00:00:00
Dominica IV Adventus, sd2, Sunday, 2578-12-20 00:00:00
Dominica III Adventus, sd2, Sunday, 2578-12-13 00:00:00
Feria IV Quattuor Temporum in Adventu, sp, Wednesday, 2578-12-16 00:00:00
Feria VI Quattuor Temporum in Adventu, sp, Friday, 2578-12-18 00:00:00
Sabbato Quattuor Temporum in Adventu, sp, Saturday, 2578-12-19 00:00:00
Dominica II Adventus, sd2, Sunday, 2578-12-06 00:00:00
Dominica I Adventus, sd2, Sunday, 2578-11-29 00:00:00
Nativitas DNJC, d1, Friday, 2578-12-25 00:00:00
Dominica Infra Octavam Nativitatis reposit, sd, Wednesday, 2578-12-30 00:00:00
S Stephani Protomartyris, d2, Saturday, 2578-12-26 00:00:00
S Joannis Ap & Ev, d2, Sunday, 2578-12-27 00:00:00
Ss Innocentium Mm, d2, Monday, 2578-12-28 00:00:00
S Thomas EM, d, Tuesday, 2578-12-29 00:00:00
S Sylvestri I PC, d, Thursday, 2578-12-31 00:00:00
