Feast, Rank, Weekday, Date
Dominica IV post Pascha, sd, Sunday, 2278-05-12 00:00:00
Litaniæ Minores, sp, Monday, 2278-05-20 00:00:00
Litaniæ Minores, sp, Tuesday, 2278-05-21 00:00:00
Litaniæ Minores, sp, Wednesday, 2278-05-22 00:00:00
Vigilæ Ascensionis, sp, Wednesday, 2278-05-22 00:00:00
Ascensio DNJC, d1, Thursday, 2278-05-23 00:00:00
Dominica V post Pascha, sd, Sunday, 2278-05-19 00:00:00
De II die infra Oct Ascensionis, sd, Saturday, 2278-05-25 00:00:00
De IV die infra Oct Ascensionis, sd, Monday, 2278-05-27 00:00:00
De V die infra Oct Ascensionis, sd, Tuesday, 2278-05-28 00:00:00
De VI die infra Oct Ascensionis, sd, Wednesday, 2278-05-29 00:00:00
Dominica infra Octavam Ascensionis, sd, Sunday, 2278-05-26 00:00:00
Vigilia Pentecostes, sd, Saturday, 2278-06-01 00:00:00
Dominica Pentecostes, d1, Sunday, 2278-06-02 00:00:00
De II die infra Oct Pentecostes, d1, Saturday, 2278-05-25 00:00:00
De III die infra Oct Pentecostes, d1, Sunday, 2278-05-26 00:00:00
De IV die infra Oct Pentecostes, d1, Monday, 2278-05-27 00:00:00
De V die infra Oct Pentecostes, d1, Tuesday, 2278-05-28 00:00:00
De VI die infra Oct Pentecostes, d1, Wednesday, 2278-05-29 00:00:00
Sabbato die infra Oct Pentecostes, d1, Thursday, 2278-05-30 00:00:00
Feria IV Quattuor infra Temporum Pentecostes, d1, Wednesday, 2278-06-05 00:00:00
Feria VI Quattuor infra Temporum Pentecostes, d1, Friday, 2278-06-07 00:00:00
Sabbato Quattuor infra Temporum Pentecostes, d1, Saturday, 2278-06-08 00:00:00
Dominica Sanctissimæ Trinitatis, d1, Sunday, 2278-06-09 00:00:00
De II die infra Oct Corporis Christi, sd, Friday, 2278-06-14 00:00:00
De III die infra Oct Corporis Christi, sd, Saturday, 2278-06-15 00:00:00
De V die infra Oct Corporis Christi, sd, Monday, 2278-06-17 00:00:00
De VI die infra Oct Corporis Christi, sd, Tuesday, 2278-06-18 00:00:00
De VII die infra Oct Corporis Christi, sd, Wednesday, 2278-06-19 00:00:00
Sanctissimi Corporis Christi, d1, Thursday, 2278-06-13 00:00:00
Octava SSmi Corporis Christi, dm, Thursday, 2278-06-20 00:00:00
Dominica II post Pentecosten infra Octavam Corporis Christi, sd, Sunday, 2278-06-16 00:00:00
De II die infra Oct Ss Cordis Jesu, sd, Saturday, 2278-06-22 00:00:00
De IV die infra Oct Ss Cordis Jesu, sd, Monday, 2278-06-24 00:00:00
De V die infra Oct Ss Cordis Jesu, sd, Tuesday, 2278-06-25 00:00:00
De VI die infra Oct Ss Cordis Jesu, sd, Wednesday, 2278-06-26 00:00:00
De VII die infra Oct Ss Cordis Jesu, sd, Thursday, 2278-06-27 00:00:00
Sacratissimi Cordis Jesu, d1, Friday, 2278-06-21 00:00:00
Sacratissimi Cordis Jesu, dm, Friday, 2278-06-28 00:00:00
Dominica III post Pentecosten infra Octavam SSmi Cordis DNJC, sd, Sunday, 2278-06-23 00:00:00
Dominica V post Pentecosten, sd, Sunday, 2278-06-30 00:00:00
Dominica VI post Pentecosten, sd, Sunday, 2278-07-07 00:00:00
Dominica VII post Pentecosten, sd, Sunday, 2278-07-14 00:00:00
Dominica VIII post Pentecosten, sd, Sunday, 2278-07-21 00:00:00
Dominica IX post Pentecosten, sd, Sunday, 2278-07-28 00:00:00
Dominica X post Pentecosten, sd, Sunday, 2278-08-04 00:00:00
Dominica XI post Pentecosten, sd, Sunday, 2278-08-11 00:00:00
Dominica XII post Pentecosten, sd, Sunday, 2278-08-18 00:00:00
Dominica XIII post Pentecosten, sd, Sunday, 2278-08-25 00:00:00
Dominica XIV post Pentecosten, sd, Sunday, 2278-09-01 00:00:00
Dominica XV post Pentecosten, sd, Sunday, 2278-09-08 00:00:00
Dominica XVI post Pentecosten, sd, Sunday, 2278-09-15 00:00:00
Feria IV Quattuor Temporum Septembris, sd, Wednesday, 2278-09-18 00:00:00
Feria VI Quattuor Temporum Septembris, sd, Friday, 2278-09-20 00:00:00
Sabbato Quattuor Temporum Septembris, sd, Saturday, 2278-09-21 00:00:00
Dominica XVII post Pentecosten, sd, Sunday, 2278-09-22 00:00:00
Dominica XVIII post Pentecosten, sd, Sunday, 2278-09-29 00:00:00
Dominica XIX post Pentecosten, sd, Sunday, 2278-10-06 00:00:00
Dominica XX post Pentecosten, sd, Sunday, 2278-10-13 00:00:00
Dominica XXI post Pentecosten, sd, Sunday, 2278-10-20 00:00:00
Dominica XXII post Pentecosten, sd, Sunday, 2278-10-27 00:00:00
Dominica XXIII post Pentecosten, sd, Sunday, 2278-11-03 00:00:00
Dominica XXIV post Pentecosten, sd, Sunday, 2278-11-10 00:00:00
Dominica XXV post Pentecosten, sd, Sunday, 2278-11-17 00:00:00
Dominica XXVI post Pentecosten, sd, Sunday, 2278-11-24 00:00:00
Dominica XXVII post Pentecosten, sd, Sunday, 2278-12-01 00:00:00
Dominica IV Adventus, sd2, Sunday, 2278-12-22 00:00:00
Dominica III Adventus, sd2, Sunday, 2278-12-15 00:00:00
Feria IV Quattuor Temporum in Adventu, sp, Wednesday, 2278-12-18 00:00:00
Feria VI Quattuor Temporum in Adventu, sp, Friday, 2278-12-20 00:00:00
Sabbato Quattuor Temporum in Adventu, sp, Saturday, 2278-12-21 00:00:00
Dominica II Adventus, sd2, Sunday, 2278-12-08 00:00:00
Dominica I Adventus, sd2, Sunday, 2278-12-01 00:00:00
Nativitas DNJC, d1, Wednesday, 2278-12-25 00:00:00
Dominica Infra Octavam Nativitatis, sd, Sunday, 2278-12-29 00:00:00
De VI Die infra Octavam Nativitatis, sd, Monday, 2278-12-30 00:00:00
S Stephani Protomartyris, d2, Thursday, 2278-12-26 00:00:00
S Joannis Ap & Ev, d2, Friday, 2278-12-27 00:00:00
Ss Innocentium Mm, d2, Saturday, 2278-12-28 00:00:00
S Thomas EM, d, Sunday, 2278-12-29 00:00:00
S Sylvestri I PC, d, Tuesday, 2278-12-31 00:00:00
